"영문명","한글명","국가명_영문","국가명_한글","지역","주_영문","주_한글","도시명_영문","도시명_한글","홈페이지"
"Incheon International Airport","인천 국제공항","Republic of Korea","대한민국","아시아태평양","","","Seoul / Incheon","서울 / 인천","www.airport.kr"
"Gimpo International Airport","김포 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Seoul","서울","www.airport.co.kr/mbs/gimpo/"
"Gimhae International Airport","김해 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Busan","부산","www.airport.co.kr/mbs/gimhae/"
"Jeju International Airport","제주 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Jeju","제주","www.airport.co.kr/mbs/jeju/"
"Daegu International Airport","대구 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Daegu","대구","www.airport.co.kr/mbs/daegu/"
"Cheongju International Airport","청주 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Cheongju","청주","www.airport.co.kr/mbs/cheongju/"
"Gwangju International Airport","광주 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Gwangju","광주","www.airport.co.kr/mbs/gwangju/"
"Yangyang International Airport","양양 국제공항","Republic of Korea","대한민국","아시아,태평양","","","Yangyang / Wonju","양양 / 원주","www.airport.co.kr/mbs/yangyang/"
"Ulsan Airport","울산 공항","Republic of Korea","대한민국","아시아,태평양","","","Ulsan","울산","www.airport.co.kr/mbs/ulsan/"
"Sacheon Airport","사천 공항","Republic of Korea","대한민국","아시아,태평양","","","","","www.airport.co.kr/mbs/sacheon/"
"Pohang Airport","포항 공항","Republic of Korea","대한민국","아시아,태평양","","","Pohang","포항","www.airport.co.kr/mbs/pohang/"
"Gunsan Airport","군산 공항","Republic of Korea","대한민국","아시아태평양","","","Gunsan","군산","www.airport.co.kr/doc/gunsan/index.jsp"
"Yeosu Airport","여수 공항","Republic of Korea","대한민국","아시아,태평양","","","Yeosu","여수","www.airport.co.kr/mbs/yeosu/"
"Mokpo Airport","목포 공항","Republic of Korea","대한민국","아시아태평양","","","Mokpo","목포",""
"Wonju Airport","원주 공항","Republic of Korea","대한민국","아시아,태평양","","","","","www.airport.co.kr/mbs/wonju/"
"Adelaide International Airport","애들레이드 국제공항","Australia","오스트레일리아","대양주","South Australia","사우스오스트레일리아","Adelaide","애들레이드","www.aal.com.au"
"Brisbane International Airport","브리즈번 국제공항","Australia","오스트레일리아","대양주","Queensland","퀸즐랜드","Brisbane","브리즈번","www.bne.com.au"
"Cairns International Airport","케언스 국제공항","Australia","오스트레일리아","대양주","Queensland","퀸즐랜드","Cairns","케언스","www.cairnsport.com.au"
"Cocos (Keeling) Island International Airport","코코스 킬링 아일랜드 국제공항","Australia","오스트레일리아","대양주","","","Cocos (Keeling) Island( Keeling Islands )","코코스킬링제도",""
"Coolangatta Airport","쿨랑가타 공항","Australia","오스트레일리아","대양주","Queensland","퀸즐랜드","Gold Coast","골드코스트","www.gcal.com.au/"
"Essendon Airport","에션던 공항","Australia","오스트레일리아","대양주","Victoria","빅토리아","Melbourne","멜버른","www.essendonairport.com.au"
"Hobart International Airport","호바트 국제공항","Australia","오스트레일리아","대양주","Tasmania","태즈메이니아","Hobart","호바트","www.hobartairpt.com.au"
"Kingsford Smith Airport (Sydney International)","킹스포트 스미스 공항 (시드니 국제공항)","Australia","오스트레일리아","대양주","New South Wales","뉴사우스웨일스","Sydney","시드니","www.sydneyairport.com.au"
"Mount Isa Airport","마운트이사 공항","Australia","오스트레일리아","대양주","Queensland","퀸즐랜드","Mount Isa","마운트이사",""
"Perth International Airport","퍼스 국제공항","Australia","오스트레일리아","대양주","Western Australia","웨스턴오스트레일리아","Redcliffe","레드클리프","www.perthairport.net.au/"
"Townsville International Airport","타운스빌 국제공항","Australia","오스트레일리아","대양주","Queensland","퀸즐랜드","Townsville","타운즈빌",""
"Tullamarine Airport ( Melbourne International )","툴라마린 공항  ( 멜버른 국제공항 )","Australia","오스트레일리아","대양주","Victoria","빅토리아","Melbourne","멜버른","www.melbourne-airport.com.au/"
"Ganja International Airport (Gyandzha)","지안쟈 국제공항","Azerbaijan","아제르바이잔","아시아태평양","","","Gyandzha","지안쟈",""
"Heydar Aliyev International Airport","헤이다 알리예프 국제공항","Azerbaijan","아제르바이잔","아시아태평양","","","Baku","바쿠",""
"Paro Airport","파로 공항","Bhutan","부탄","아시아태평양","","","Paro","파로",""
"Beef Island Airport","비프 아일랜드 공항","British Virgin Islands","영국령 버진아일랜드","아시아태평양","","","Beef Island /Tortola","비프아일랜드 / 토톨라",""
"Brunei International Airport","브루나이 국제공항","Brunei","브루나이","아시아,태평양","","","Bandar Seri Begawan","반다르세리베가완","www.civil-aviation.gov.bn/index.php/services/airport-services/experience-brunei-int-l-airport"
"Angkor International Airport","앙코르 국제공항","Cambodia","캄보디아","아시아태평양","","","Siem Reap","시엠리아프","www.cambodia-airports.com/index.php?airport=REP"
"Pochentong Airport","포켄통 공항","Cambodia","캄보디아","아시아태평양","","","Phnom Penh","프놈펜","www.cambodia-airports.com"
"Rarotonga International Airport","라로통가 국제공항","Cook Islands","쿡 군도","아시아태평양","Rarotonga","라로통가","Rarotonga","라로통가",""
"Sunan International Airport ( Pyongyang International )","순안 국제공항  ( 평양국제공항 )","Democratci Republic of Korea","조선민주주의인민공화국","아시아태평양","","","Pyongyang","평양",""
"Nadi International Airport","나디 국제공항","Fiji","피지","아시아태평양","","","Nadi","나디","www.airportsfiji.com "
"Faa'a International Airport","파아 공항","French Polynesia","프랑스령 폴리네시아","아시아태평양","","","Papeete","파페에테","tahiti-aeroport.pf"
"Tbilisi International Airport (formerly Novo Alexeyevka Airport ( Lochini ) )","트빌리시 국제공항 (구>노보 알렉세이프카 공항  ( 로치니 )","Georgia","조지아","아시아태평양","","","Tbilisi","트빌리시",""
"Antonio Borja Won Pat International Airport (A.B. Won Pat International)","안토니오 보르냐 원 팟 국제공항","Guam","괌","아시아태평양","","","Agana (Hagata), 괌","아가나 (하가타) , 괌","www.guamairport.com"
"Hong Kong International Airport ( Chek Lap Kok )","홍콩 국제공항  (첵랍콕 )  (첵랩콕 )","Hong Kong","홍콩","아시아,태평양","","","Hong Kong","홍콩","www.hongkongairport.com"
"Bamrauli Airport","밤라울리 공항","India","인도","아시아태평양","","","Allahabad","알라하바드",""
"Rajiv Gandhi International Airport (Hyderabad International Airport) (Begumpet Airport )","라지브간디 국제공항 (하이데라바드 국제공항 ) (베굼페 공항)","India","인도","아시아태평양","","","Hyderabad","하이데라바드","www.airportsindia.org.in"
"Borjhar Airport","보리쟈 공항","India","인도","아시아,태평양","","","Guwahati","구와하티","www.aai.aero/"
"Calicut International Airport ( Karipur )","칼리컷 국제공항  ( 카리푸르 )","India","인도","아시아,태평양","","","Kozhikode ( Calicut )","칼리컷","www.aai.aero/"
"Chennai International Airport","첸나이 국제공항","India","인도","아시아태평양","","","Chennai / Madras","첸나이 / 마드라스","www.airportsindia.org.in/chennai/index.jsp"
"Chhatrapati Shivaji International Airport","채해트라피티 시버지 국제공항","India","인도","아시아태평양","","","Mumbai","뭄바이","www.csia.in/"
"Cochin International Airport (Kochi Int'l)","코친 국제공항","India","인도","아시아태평양","","","Kochi / Nedumbassery","고치 / 네둠바세리","www.cochin-airport.in/"
"Dabolim Airport","다보림 공항","India","인도","아시아태평양","","","Goa","고아",""
"HAL Bangalore International Airport (Hindustan Airport)","할 방갈로르 국제공항 (힌두스탄 공항)","India","인도","아시아,태평양","","","Bangalore","방갈로르","www.aai.aero/allAirports/blr_gi.jsp"
"Indira Gandhi International Airport","인디라 간디 국제공항","India","인도","아시아,태평양","","","Delhi","델리","www.aai.aero/"
"Netaji Subhas Chandra Airport","네타지 쉽하스 챤드라 공항","India","인도","아시아태평양","","","Kolkata","콜카타","www.airportsindia.org.in"
"Raja Sansi Airport","라자 산시 공항","India","인도","아시아태평양","","","Amritsar","암리차르",""
"Sanganeer Airport","상그니어 공항","India","인도","아시아태평양","","","Jaipur","자이푸르",""
"Sardar Vallabhbhai Patel International Airport","사다르 발랍하이 파텔 국제공항 ( 아메다바드 )","India","인도","아시아태평양","","","Ahmedabad","아메다바드",""
"Dr. Ambedkar International Airport (fomer Sonegaon )","암베드카 국제공항 (구>소네가온)","India","인도","아시아태평양","","","Nagpur","나그푸르",""
"Srinagar Air Force Base","스리나가르 공군기지","India","인도","아시아태평양","","","Srinagar","스리나가르",""
"Thiruvananthapuram International Airport","트리반드럼 국제공항","India","인도","아시아태평양","","","Thiruvananthapuram","트리반드럼",""
"Achmad Yani Airport","아츠마드 야니 공항","Indonesia","인도네시아","아시아태평양","","","Semarang","세마랑","www.angkasapura1.co.id"
"Blang Bintang Airport","발랑 빈탕 공항","Indonesia","인도네시아","아시아태평양","","","Banda Aceh","반다 아체",""
"Halim Perdanakusuma Airport","하림 페다나 쿠수마 공항","Indonesia","인도네시아","아시아태평양","","","Jakarta","자카르타","www.angkasapura2.co.id"
"Husein Sastranegara Airport","후세인 사스트라네가라 공항","Indonesia","인도네시아","아시아태평양","","","Bandung","반둥",""
"Juanda International Airport","주안다 국제공항","Indonesia","인도네시아","아시아태평양","","","Surabaya","수라바야","www.angkasapura1.co.id"
"Minangkabau International Airport","미낭카바우 국제공항","Indonesia","인도네시아","아시아태평양","","","Padang","파당",""
"Ngurah Rai Airport","느구라 라이 공항","Indonesia","인도네시아","아시아태평양","","","Denpasar Bali","덴파사 발리","www.angkasapura1.co.id"
"Penggung Airport","펭궁 공항","Indonesia","인도네시아","아시아태평양","","","Cirebon","찌레봉","www.canberraairport.com.au"
"Polonia International Airport","폴로니아 공항","Indonesia","인도네시아","아시아태평양","","","Medan","메단",""
"Selaparang Airport","셀라파랑 공항","Indonesia","인도네시아","아시아태평양","","","Mataram","마타람","www.angkasapura1.co.id"
"Sepinggan International Airport","세펭간 국제공항","Indonesia","인도네시아","아시아태평양","","","Balikpapan","발릭파판","www.sepingganairport.com"
"Simpang Tiga Airport ( Sultan Syarif Kasim II )","심팡 티가 공항  ( 술탄 샤리프 카심 II )","Indonesia","인도네시아","아시아태평양","","","Pekanbaru","페칸바루",""
"Soekarno-Hatta International Airport","소엑카르노 하타 국제공항","Indonesia","인도네시아","아시아태평양","","","Jakarta","자카르타","www.angkasapura2.co.id/"
"Sultan Mahmud Badaruddin II Airport","술탄 무하무드 바다루딘 II 공항","Indonesia","인도네시아","아시아태평양","","","Palembang","팔렘방",""
"Chubu Centrair International Airport ( Central Japan )","주부 센트에어 국제공항  ( 센트럴 저팬 )","Japan","일본","아시아태평양","","","Nagoya","나고야","www.centrair.jp"
"Fukuoka Airport","후쿠오카 공항","Japan","일본","아시아태평양","Fukuoka","후쿠오카","Fukuoka","후쿠오카",""
"Tokyo International Airport (Haneda Airport)","동경국제공항 (하네다 공항)","Japan","일본","아시아,태평양","","","Tokyo","도쿄","www.tokyo-airport-bldg.co.jp/en/"
"Itami Airport","이타미 공항","Japan","일본","아시아태평양","","","Osaka","오사카",""
"Kansai International Airport","간사이 국제공항","Japan","일본","아시아태평양","","","Osaka","오사카","www.kansai-airport.or.jp; www.kiac.co.jp"
"Narita Airport","나리타 공항","Japan","일본","아시아태평양","","","Tokyo","도쿄","www.narita-airport.or.jp/airport_e/"
"Almaty Airport","알마티 공항","Kazakhstan","카자흐스탄","아시아태평양","","","Almaty","알마티","www.almatyairport.kz/"
"Astana International Airport","아스타나 국제공항","Kazakhstan","카자흐스탄","아시아태평양","","","Astana","아스타나","www.astanaairport.kz"
"Manas International Airport","만사스 국제공항","Kyrgyzstan","키르기스스탄","아시아태평양","","","Bishkek","비슈케크",""
"Wattay International Airport","와타이 공항","Laos","라오스","아시아태평양","","","Vientiane (Viangchan)","비엔티안",""
"Macao International Airport","마카오 국제공항","Macao","마카오","아시아태평양","","","Macao","마카오","www.macau-airport.com"
"Bintulu Airport","빈툴루 공항","Malaysia","말레이시아","아시아태평양","","","Bintulu","빈툴루",""
"Kota Kinabalu International Airport","코타키나발루 국제공항","Malaysia","말레이시아","아시아태평양","Sabah","사바","Kota Kinabalu","코타키나발루",""
"Kuala Lumpur International Airport","콸라룸푸르 국제공항","Malaysia","말레이시아","아시아태평양","","","Kuala Lumpur","콜라룸푸르","www.klia.com.my; www.malaysiaairports.com.my"
"Kuching International Airport","쿠칭 국제공항","Malaysia","말레이시아","아시아태평양","","","Kuching","쿠칭",""
"Langkawi Airport","랑카위 공항","Malaysia","말레이시아","아시아태평양","","","Langkawi","랑카위",""
"Penang International Airport","페낭 국제공항","Malaysia","말레이시아","아시아태평양","","","Penang","페낭",""
"Sultan Ismail International Airport","술탄 이스마일 국제공항","Malaysia","말레이시아","아시아태평양","","","Johor Bahru","조호바루",""
"Male International Airport","메일 국제공항","Maldives","몰디브","아시아태평양","","","Male","메일","www.male.aero"
"Gan International Airport (Seenu Airport)","시이뉴 공항","Maldives","몰디브","아시아태평양","","","Gan Island / Seenu Atoll","간섬","www.ganairport.aero"
"Amata Kabua International Airport","아마타 카부아 국제공항","Marshall Islands","마샬 군도","아시아태평양","","","Majuro","마주로",""
"Chinggis Khaan International Airport","칭지스 칸 국제공항","Mongolia","몽골리아","아시아태평양","","","Ulaanbaatar","울란바토르",""
"Mingaladon Airport","밍갈라돈 공항","Myanmar","미얀마","아시아태평양","","","Yangon","양곤",""
"Tribhuvan Airport","트리부후반 공항","Nepal","네팔","아시아태평양","","","Kathmandu","카트만두","www.tiairport.com.np"
"La Tontouta International Airport","라 톤투타 국제공항","New Caledonia","뉴칼레도니아","아시아태평양","","","Noumea","누메아",""
"Auckland International Airport","오클랜드 국제공항","New Zealand","뉴질랜드","아시아태평양","","","Auckland","오클랜드","www.auckland-airport.co.nz"
"Christchurch International Airport","크라이스트처치 국제공항","New Zealand","뉴질랜드","아시아태평양","","","Christchurch","크라이스트처치","www.christchurch-airport.co.nz"
"Dunedin International Airport","두네딘 국제공항","New Zealand","뉴질랜드","아시아태평양","Dunedin","더니든","Mosgiel","모스겔","www.dnairport.co.nz/"
"Hawkes Bay Airport","호크스 베이 공항","New Zealand","뉴질랜드","아시아태평양","","","Napier-Hastings","네이피어/헤이스팅스","www.hawkesbay-airport.co.nz"
"Wellington International Airport","웰링턴 국제공항","New Zealand","뉴질랜드","아시아태평양","","","Wellington","웰링턴","www.wellington-airport.co.nz/"
"Saipan International Airport","사이판 섬 국제공항","Nothern Mariana Islands","북마리아나 제도","아시아태평양","","","Saipan","사이판 섬","www.cpa.gov.mp/spnapt.asp"
"Yasser Arafat International Airport (formely Gaza International, Dahaniya)","야세르 아라파트 국제공항 (구>가자 국제공항, 다하니야)","Palestine","팔레스타인","중동,아프리카","","","Gaza City","가자시티","www.gaza-airport.org"
"Jackson Field Airport","잭슨 필드 공항","Papua New Guinea","파푸아뉴기니","아시아태평양","","","Port Moresby","포트모르즈비",""
"Baiyun Airport","바이윤 공항","China","중국","아시아태평양","","","Guangzhou","광저우","www.baiyunairport.com"
"Beijing Capital Airport","베이징 캐피탈 공항","China","중국","아시아태평양","","","Beijing","베이징","www.bcia.com.cn"
"Chengdu Shuangliu International Airport","청두  슈앙리우 국제공항","China","중국","아시아태평양","Sichuan","쓰촨  ( 사천 )","Chengdu","청두",""
"Hongqiao Airport","홍챠오 공항","China","중국","아시아태평양","","","Shanghai","상하이","www.shairport.com/en/index.jsp"
"Pu Dong Airport","푸동 공항","China","중국","아시아태평양","","","Shanghai","상하이","www.shairport.com"
"Shenzhen Bao'an International Airport","쉔젠 바오안 국제공항","China","중국","아시아태평양","Guangdong","광둥  ( 광동 )","Shenzhen","선전","szairport.com"
"Clark Field Airport","클라 필드 공항","Philippines","필리핀","아시아태평양","","","Luzon Island","루손섬","www.dmia.ph/"
"Mactan International Airport","막탄 국제공항","Philippines","필리핀","아시아태평양","","","Cebu","세부","www.mactan-cebuairport.com.ph 

Runways 

"
"Mati Airport","마티 공항","Philippines","필리핀","아시아태평양","","","Davao","다바오",""
"Ninoy Aquino International Airport","니노이 아퀴노 국제공항","Philippines","필리핀","아시아태평양","","","Manila","마닐라","www.miaa.gov.ph"
"Fagali'i Airport","파갈리이 공항","Samoa","사모아","아시아태평양","","","Apia","아피아",""
"Faleolo International Airport","팔레오로 공항","Samoa","사모아","아시아태평양","","","Apia","아피아",""
"Pago Pago International Airport ( Faleolo International )","파고파고 국제공항  ( 파레올로 국제공항 )","American Samoa","아메리칸 사모아","아시아태평양","","","Pago Pago","파고파고",""
"Changi Airport","창이 공항","Singapore","싱가포르","아시아,태평양","","","Singapore","싱가포르","www.changi.airport.com.sg"
"Seletar Airport","셀레타 공항","Singapore","싱가포르","아시아태평양","","","Singapore","싱가포르",""
"Henderson International Airport","헨더슨 국제공항","Solomon Islands","솔로몬 제도","아시아태평양","","","Honiara","호니아라",""
"Bandaranaike International Airport","밴다라나이크 국제공항","Sri Lanka","스리랑카","아시아태평양","","","Colombo","콜롬보","www.airport.lk"
"Kaohsiung International Airport","카오징 국제공항","Taiwan","대만","아시아태평양","","","Kaohsiung","카오징","www.kia.gov.tw/"
"Taiwan Taoyuan International Airport  ( formerly Chiang Kai-Shek International )","타이완 타오유완 국제공항  (구>장개석 국제공항)","Taiwan","대만","아시아,태평양","","","Taipei","타이베이","www.taoyuan-airport.com/english/index.jsp"
"Dushanbe Airport","두샨베 공항","Tajikistan","타지키스탄","아시아태평양","","","Dushanbe","두샨베",""
"Chiang Mai International Airport","치앙마이 국제공항","Thailand","태국","아시아,태평양","","","Chiang Mai","치앙마이","www.airportthai.co.th"
"Chiang Rai International Airport","치앙라이 국제공항","Thailand","태국","아시아,태평양","","","Chiang Rai","치앙라이","www.airportthai.co.th"
"Hat Yai International Airport","햇야이 국제공항","Thailand","태국","아시아,태평양","","","Hat Yai / Songkhla","햇야이 /송칼라","www.airportthai.co.th"
"Phuket International Airport","푸케트 섬 국제공항","Thailand","태국","아시아,태평양","","","Phuket","푸케트","www.phuketairportthai.com/en"
"Suvarnabhumi International Airport (New  Bangkok International)","수완나푸미 국제공항 (신방콕국제공항)","Thailand","태국","아시아,태평양","","","Bangkok","방콕","www.suvarnabhumiairport.com/en"
"Fua'amotu International Airport","후아모투 국제공항","Tonga","통가","아시아태평양","","","Nuku'Alofa","누쿠알로파",""
"Ashgabat Airport (Ashkhabad Airport)","아쉬카밧 공항","Turkmenistan","투르크메니스탄","아시아태평양","","","Ashgabat ( Ashkhabad )","아쉬카밧",""
"Sand Island Airport","샌드 아일랜드 공항","US Minor Outlying Islands","마이너아우틀링군도","아시아태평양","","","Midway Island","미드웨이 제도","www.americanairports.net"
"Yuzhny Airport","유즈니 공항","Uzbekistan","우즈베키스탄","아시아,태평양","","","Tashkent","타슈켄트","gc.kls2.com/airport/IWA"
"Bauerfield Airport","보어필드 공항","Vanuatu","바누아투","아시아태평양","","","Port Vila","포트빌라","www.airports.vu/"
"Duong Dang Airport","두옹 당 공항","Viet Nam","베트남","아시아태평양","","","Phu Quoc","프궉섬","translate.google.com/translate?prev=_t&hl=en&ie=UTF-8&u=http%3A%2F%2Fwww.tsnairport.hochiminhcity.gov.vn%2Fvn%2Fdefault.aspx%3Fcat_id%3D693%26cl1%3D689&sl=vi&tl=en&history_state0="
"Lienkhang Airport","리엥캥 공항","Viet Nam","베트남","아시아태평양","","","Dalat","달랏",""
"Nha Trang Airport","나트랑 공항","Viet Nam","베트남","아시아태평양","","","Nha Trang","냐짱",""
"Noi bai International Airport","노이 바이 공항","Viet Nam","베트남","아시아태평양","","","Hanoi","하노이","www.niags.com.vn"
"Tan Son Nhat Airport","탄 손 낫 공항 ( 떤셔너트 )","Viet Nam","베트남","아시아태평양","","","Ho Chi Minh City","호치민 시","www.tsnairport.com"
"Dakhla Airport","다클라 공항","Western Sahara","서사하라","중동아프리카","","","Dakhla","다클라",""
"Tirana Rinas Airport ( Mother Teresa )","티라나 리냐스 공항  ( 마더 테레사 )","Albania","알바니아","유럽","","","Tirana","티라나",""
"Shirak International Airport","쉬락 국제공항","Armenia","아르메니아","유럽","","","Gyumri","지윰리",""
"Zvartnots International Airport (Yerevan Airport)","즈바노츠 국제공항 (여반)","Armenia","아르메니아","유럽","","","Zvartnots / Yerevan","즈바노츠 / 여반","www.aia-zvartnots.aero"
"Blue Danube  Airport (Hoersching Airport)","블루 다뉴브  공항 (후어싱 공항 )","Austria","오스트리아","유럽","","","Linz","린츠","www.linz-airport.at"
"Klagenfurt Airport","클라겐푸르트 공항","Austria","오스트리아","유럽","","","Klagenfurt","클라겐푸르트","www.klagenfurt-airport.com"
"Kranebitten Airport","크래인비튼 공항","Austria","오스트리아","유럽","","","Innsbruck","인스브루크","www.innsbruck-airport.com"
"Thalerhof Airport","탤러호프 공항","Austria","오스트리아","유럽","","","Graz","그라츠","www.airport-graz.com"
"Vienna International Airport","비엔나 국제공항","Austria","오스트리아","유럽","","","Vienna","비엔나","www.viennaairport.com"
"W.A. Mozart Airport","W.A 모자르트 공항","Austria","오스트리아","유럽","","","Salzburg","잘츠부르크","www.salzburg-airport.com"
"Minsk International 2 Airport","민스크 2 국제공항","Belarus","벨라루스 ","유럽","","","Minsk","민스크",""
"Antwerpen International Airport (Deurne) (Antwerp-Brussels North)","앤트워프 국제공항 ( 던도 ) (앤트워프 브뤼셀 노스)","Belgium","벨기에","유럽","","","Antwerp , Brussels","앤트워프 , 브뤼셀","www.antwerpairport.be"
"Liege Airport (formerly Bierset Airport)","리에주 공항 (구> 비어셋 공항)","Belgium","벨기에","유럽","","","Liege","리에주","www.liegeairport.com"
"Brussels Airport ( Melsbroek  ) (Brussels National Airport)","브뤼셀 내셔널 공항  ( 말스뵈뢰 )","Belgium","벨기에","유럽","","","Brussels","브뤼셀","www.brusselsairport.be/en/"
"Charleroi Airport (Brussels South Charleroi Airport )","챨레로이 공항 (브뤼셀 사우스 샬레로이 공항)","Belgium","벨기에","유럽","","","Brussels","브뤼셀","www.charleroi-airport.com"
"Ostend-Bruges International Airport","오스텐 브루즈 국제공항","Belgium","벨기에","유럽","","","Ostend","오스텐","www.ost.aero/"
"Banja Luka International Airport","바냐루카 국제공항","Bosnia and Herzegovina","보스니아 헤르체고비나","유럽","","","Banja Luka","바냐루카",""
"Butmir Airport","부트미르 공항","Bosnia and Herzegovina","보스니아 헤르체고비나","유럽","","","Sarajevo","사라예보","www.sarajevo-airport.ba/"
"Burgas International Airport (Sarafovo) (Bourgas)","부르가스 국제공항 (사라포바 )","Bulgaria","불가리아","유럽","","","Burgas / Bourgas","부르가스","www.bourgas-airport.com"
"Varna International Airport","바르나 국제공항","Bulgaria","불가리아","유럽","","","Varna","바르나","www.varna-airport.com"
"Sofia Airport (formerly Vrazhdebna Airport)","소피아 공항 (구>브라즈데브나 공항)","Bulgaria","불가리아","유럽","","","Sofia","소피아","www.sofia-airport.bg"
"Dubrovnik Airport","두브로브니크 공항","Croatia","크로아티아","유럽","","","Dubrovnik","두브로브니크","www.airport-dubrovnik.hr/"
"Pleso Airport","플레소 공항","Croatia","크로아티아","유럽","","","Zagreb","자그레브","www.zagreb-airport.hr"
"Split Airport","스플리트 공항","Croatia","크로아티아","유럽","","","Split","스플리트","www.split-airport.hr"
"Larnaca International Airport","라르나카 /라나카 국제공항","Cyprus","키프러스","유럽","Cyprus","사이프러스","Larnaca","라르나카 (라나카)","www.cyprusairports.com.cy"
"Paphos International Airport","파포스 국제공항","Cyprus","키프러스","유럽","","","Paphos","파포스","www.hermesairports.com"
"Karlovy Vary International Airport","카를로비바리 국제공항","Czech Republic","체코","유럽","","","Karlovy Vary","카를로비바리","www.airport-k-vary.cz/indexEN.php"
"Ostrava Leos Janacek Airport (formerly Mosnov)","오스트라바 레오 자냐체크 공항 (구>모스노프)","Czech Republic","체코","유럽","","","Ostrava","오스트라바","www.airport-ostrava.cz"
"Ruzyne Airport","루이즈네 공항","Czech Republic","체코","유럽","","","Prague","프라그","www.csl.cz/en"
"Turany Airport","튀라니 공항","Czech Republic","체코","유럽","","","Brno","브르노","www.airport-brno.cz"
"Beldringe Airport","벨드링제 공항","Denmark","덴마크","유럽","","","Odense","오덴세","www.odense-lufthavn.dk"
"Billund Airport","빌룬드 공항","Denmark","덴마크","유럽","","","Billund","빌룬드","www.billund-airport.com/"
"Copenhagen Airport( Kastup )","코펜하겐 지역공항  ( 캐스럽 )","Denmark","덴마크","유럽","","","Copenhagen","코펜하겐","www.cph.dk"
"Esbjerg Airport","에스비에르 공항","Denmark","덴마크","유럽","","","Esbjerg","에스비에르","www.esbjerg-lufthavn.dk/en/"
"Tirstrup Airport","터스럽 공항","Denmark","덴마크","유럽","","","Aarhus","오르후스","www.aar.dk"
"Lennart Meri Tallinn Airport (Ulemiste Airport)","레나르 메리 탈린 공항  (윌레미스테 공항)","Estonia","에스토니아","유럽","","","Tallinn","탈린","www.tallinn-airport.ee/index.php?intro_eng=true&PHPSESSID=abb21e8e84e071f4a52945f41f329b3c"
"Vagar Airport","바가 공항","Faroe Islands","페로 제도","유럽","","","Faroe Islands","페로 제도","www.floghavn.fo"
"Helsinki-Vantaa Airport","헬싱키 반타 공항","Finland","핀란드","유럽","","","Helsinki","헬싱키","www.finavia.fi/en/helsinki-airport/"
"Ivalo Airport","이바로 공항","Finland","핀란드","유럽","","","Ivalo / Inari","이바로 /아나리","www.ilmailulaitos.fi/airport_ivalo"
"Joensuu Airport","조엔수 공항","Finland","핀란드","유럽","","","Joensuu / Liperi","조엔수 /리페리","www.ilmailulaitos.fi/airport_joensuu"
"Jyvaskyla Airport","지바스키라 공항","Finland","핀란드","유럽","","","Jyvaskylan maalaiskunta","지바스키라","www.ilmailulaitos.fi/airport_jyvaskyla"
"Kajaani Airport","카야니 공항","Finland","핀란드","유럽","","","Kajaani","카야니","www.ilmailulaitos.fi/airport_kajaani"
"Kemi-Tornio Airport","케미 토니오 공항","Finland","핀란드","유럽","","","Kemi / Tornio","헬싱키","www.ilmailulaitos.fi/airport_kemitornio"
"Kittila Airport","키틸라 공항","Finland","핀란드","유럽","","","Kittila","키틸라","www.ilmailulaitos.fi/airport_kittila"
"Kruunupyy Airport","쿠루누피 공항","Finland","핀란드","유럽","","","Kokkola/Pietarsaari","코꼴라 / 피에타르사리","www.ilmailulaitos.fi/airport_kruunupyy"
"Kuopio Airport","쿠오피오 공항","Finland","핀란드","유럽","","","Kuopio / Siilinjarvi","쿠오피오","www.ilmailulaitos.fi/airport_kuopio"
"Lappeenranta Airport","라핀란타 공항","Finland","핀란드","유럽","","","Lappeenranta","라핀란타","www.ilmailulaitos.fi/airport_lappeenranta"
"Mariehamn Airport","메리함 공항","Finland","핀란드","유럽","","","Mariehamn","메리함","www.ilmailulaitos.fi/airport_mariehamn"
"Oulu Airport","오울루 공항","Finland","핀란드","유럽","","","Oulu","오울루","www.ilmailulaitos.fi/airport_oulu"
"Pori Airport","포리 공항","Finland","핀란드","유럽","","","Pori","포리","www.ilmailulaitos.fi/airport_pori"
"Rovaniemi Airport","로바니미 공항","Finland","핀란드","유럽","","","Rovaniemi","로바니미","www.ilmailulaitos.fi/airport_rovaniemi"
"Savonlinna Airport","사본리나 공항","Finland","핀란드","유럽","","","Savonlinna","사본리나","www.ilmailulaitos.fi/airport_savonlinna"
"Tampere-Pirkkala Airport","탐페레 피칼라 공항","Finland","핀란드","유럽","","","Tampere / Pirkkala","탐페레","www.ilmailulaitos.fi/airport_tampere-pirkkala"
"Turku Airport","투르쿠 공항","Finland","핀란드","유럽","","","Turku","투르쿠","www.finavia.fi/"
"Vaasa Airport","바사 공항","Finland","핀란드","유럽","","","Vaasa","바사","www.finavia.fi/en/vaasa/"
"Annecy-Meythe Airport","안시 메이스 공항","France","프랑스","유럽","","","Annecy","안시","www.annecy.aeroport.fr"
"Antoine de Saint-Exupery Airport","안트완 데 생떽쥐베리 공항","France","프랑스","유럽","","","Lyon","리옹","www.lyon.aeroport.fr"
